"Citation Key","First Author","Other Authors","Affiliation","Title","Year","Publisher / Journal","Volume / Issue","Pages","Extra Notes","ISBN"
"Kullback ’51","S. Kullback; R.A. Leibler","","National Bureau of Standards (US)","On information and sufficiency","1951","Annals of Mathematical Statistics","22 (1)","79–86","",""
"Bruce ‘17","P. Bruce; A. Bruce","",,"Practical Statistics for Data Scientists: 50 Essential Concepts","2017","O'Reilly Media, Inc.","","","",""
"Dunn ’61","O.J. Dunn","","University of California, Los Angeles (US)","Multiple Comparisons Among Means","1961","Journal of the American Statistical Association","56 (293)","52–64","",""
"Aggrawal ’15","C. C. Aggarwal","","IBM T. J. Watson Research Center (US)","Data Mining: The Textbook","2015","Springer","","","",""
"Rao ’00","K. R. Rao; P. C. Yip","","University of Texas at Arlington (US)","The Transform and Data Compression Handbook","2000","CRC press","","","",""
"Pighizzini ‘01","G. Pighizzini","","Università degli Studi di Milano (IT)","How hard is computing the edit distance?","2001","Information and Computation","165(1)","1-13","",""
"Ratanamahatana ’05","C. A. Ratanamahatana; E. Keogh","","University of California, Riverside (US)","Three Myths about Dynamic Time Warping Data Mining","2005","In Proceedings of the 2005 SIAM International Conference on Data Mining","","pp. 506-510","Society for Industrial and Applied Mathematics",""
"Xu ’05","R. Xu; D. Wunsch","","University of Missouri-Rolla (US)","Survey of Clustering Algorithms","2005","IEEE Transactions on neural networks","16(3)","645-678","",""
"Ester ‘96","M. Ester; H. P. Kriegel; J. Sander; X. Xu","",,"A density-based algorithm for discovering clusters in large spatial databases with noise","1996","In KDD","Vol. 96, No. 34","pp. 226-231","",""
"Ankerst '99","M. Ankerst; M. M. Breunig; H. P. Kriegel; J. Sander","","University of Munich (DE)","OPTICS: ordering points to identify the clustering structure","1999","In ACM Sigmod record","Vol. 28, No. 2","pp. 49-60","ACM",""
"Sibson ‘73","R. Sibson","","University of Cambridge (UK)","SLINK: An Optimally Efficient Algorithm for the Single-Link Cluster Method","1973","The Computer Journal","British Computer Society. 16 (1)","30–34","",""
"Defays ’77","D. Defays","","University of Liège (BE)","An Efficient Algorithm for a Complete Link Method","1977","The Computer Journal","British Computer Society. 20 (4)","364–366","",""
"Kaufman ’09","L. Kaufman; P. J. Rousseeuw","","Vrije Universiteit Brussel (BE); University of Antwerp (BE)","Finding groups in data: an introduction to cluster analysis","2009","John Wiley & Sons","Vol. 344","","",""
"Larose ‘15","D. T. Larose","","Eastern Connecticut State University (US)","Data Mining and Predictive Analytics","2015","John Wiley & Sons","","","",""
"Manning ’10","C. Manning; P. Raghavan; H. Schütze","","Stanford University (US); Yahoo! Research (US); University of Stuttgart (DE)","Introduction to information retrieval","2010","Natural Language Engineering","16(1)","100-103","",""
"Kurzweil ‘06","R. Kurzweil","",,"The Singularity is Near: When Humans Transcend Biology","2006","Gerald Duckworth & Co.","","","",""
"Deza ‘09","M. M. Deza; E. Deza","","Japan Advanced Institute of Science and Technology (JP)","Encyclopedia of distances","2009","In Encyclopedia of distances","","pp. 1-583","Springer, Berlin, Heidelberg",""
"Zhang ’96","T. Zhang; R. Ramakrishnan; M. Livny","","University of Wisconsin-Madison (US)","BIRCH: an efficient data clustering method for very large databases","1996","In ACM Sigmod Record","Vol. 25, No. 2","pp. 103-114","",""
"Guha ‘98","S. Guha; R. Rastogi; K. Shim","","Stanford University (US) and Bell Laboratories (US)","CURE: An Efficient Clustering Algorithm for Large Databases","1998","In ACM Sigmod Record","Vol. 27, No. 2","pp. 73-84","",""
"Edgeworth ‘1908","F. Y. Edgeworth","","University of Oxford (UK)","On the / errors of frequency-constants","1908","Journal of the Royal Statistical Society","71 (3)","499–512","doi:10.2307/2339293",""
"Duda ‘73","R. O. Duda","P. E. Hart",,"Pattern classification and scene analysis","1973","Wiley","","","A Wiley-Interscience Publication, New York",""
"Dempster ‘77","A.P. Dempster","N.M. Laird; D.B. Rubin",,"Maximum Likelihood from Incomplete Data via the EM Algorithm","1977","Journal of the Royal Statistical Society, Series B","39 (1)","1–38","",""
"Yule ’36","G. U. Yule","L. N. G. Filon",,"Karl Pearson. 1857-1936","1936","Obituary Notices of Fellows of the Royal Society","2 (5)","72","",""
"Zadeh ‘96","L. A. Zadeh","",,"Fuzzy sets","1996","","","pp. 394-432","In Fuzzy sets, fuzzy logic, and fuzzy systems: selected papers by Lotfi A Zadeh",""
"Rawassizadeh ‘19","R. Rawassizadeh","C. Dobbins; M. Akbari; M. Pazzani",,"Indexing multivariate mobile data through spatio-temporal event detection and clustering","2019","Sensors","19(3)","448","",""
"McInnes ’17","L. McInnes","J. Healy; S. Astels",,"hdbscan: Hierarchical density based clustering","2017","J. Open Source Softw.","2(11)","205","",""
"Leskovec ‘14","J. Leskovec","A. Rajaraman; J. D. Ullman",,"Mining of Massive Datasets","2014","Cambridge University Press","","","",""
"Rousseeuw '87","P. J. Rousseeuw","",,"Silhouettes: a graphical aid to the interpretation and validation of cluster analysis","1987","Journal of computational and applied mathematics","20","53-65","",""
"Dunn ‘74","J. C. Dunn","",,"Well-separated clusters and optimal fuzzy partitions","1974","Journal of cybernetics","4(1)","95-104","",""
"Davies ‘79","D. L. Davies","D. W. Bouldin",,"A cluster separation measure","1979","IEEE transactions on pattern analysis and machine intelligence","(2)","224-227","",""
"Caliński ’74","T. Caliński","J. Harabasz",,"A dendrite method for cluster analysis","1974","Communications in Statistics-theory and Methods","3(1)","1-27","",""
"Zaki ’14","M. J. Zaki","W. Meira Jr; W. Meira J.",,"Data Mining and Analysis: Fundamental Concepts and Algorithms","2014","Cambridge University Press","","","",""
"Sedgewick ‘13","R. Sedgewick","P. Flajolet",,"An introduction to the analysis of algorithms","2013","Pearson Education India","","","",""
"McDowell ‘16","G. L. McDowell","",,"Cracking the Coding Interview: 189 Programming Questions and Solutions","2016","CareerCup, LLC","","","",""
"Broder ’97","A. Z. Broder","",,"On the resemblance and containment of documents","1997","In Proceedings. Compression and Complexity of SEQUENCES 1997 (Cat. No. 97TB100171)","","pp. 21-29","",""
"Comer ’79","D. Comer","",,"Ubiquitous B-tree","1979","ACM Computing Surveys (CSUR)","11(2)","121-137","",""
"Bayer ’70","R. Bayer","E. McCreight",,"Organization and maintenance of large ordered indices","1970","In Proceedings of the 1970 ACM SIGFIDET (Now SIGMOD) Workshop on Data Description, Access and Control","","pp. 107-141","",""
"Coulom ’07","R. Coulom","",,"Efficient selectivity and backup operators in Monte-Carlo tree search","2007","In Computers and Games: 5th International Conference, CG 2006, Turin, Italy, May 29-31, 2006. Revised Papers 5","","pp. 72-83","",""
"Silver ’18","D. Silver","T. Hubert; J. Schrittwieser; I. Antonoglou; M. Lai; A. Guez; D. Hassabis",,"A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play","2018","Science","362(6419)","1140-1144","",""
"Bloom ’70","B. H. Bloom","",,"Space/time trade-offs in hash coding with allowable errors","1970","Communications of the ACM","13(7)","422-426","",""
"Pugh ’90","W. Pugh","",,"Skip lists: a probabilistic alternative to balanced trees","1990","Communications of the ACM","33(6)","668-676","",""
"Agrawal ‘94","R. Agrawal","R. Srikant",,"Fast Algorithms for Mining Association Rules","1994","In Proceedings of 20th International Conference of Very Large Data Bases, VLDB","Vol. 1215","pp. 487-499","",""
"Park ’95","J. S. Park","M. S. Chen; P. S. Yu",,"An effective hash-based algorithm for mining association rules","1995","Acm sigmod record","24(2)","175-186","",""
"McInnes ‘18","L. McInnes","J. Healy; J. Melville",,"Umap: Uniform manifold approximation and projection for dimension reduction","2018","arXiv","","arXiv:1802.03426","",""
"Barnes ‘86","J. Barnes","P. Hut",,"A hierarchical O(N log N) force-calculation algorithm","1986","Nature","324 (4)","446–449","",""
"Harrison '19","M. Harrison","",,"Machine Learning Pocket Reference: Working with Structured Data in Python","2019","O’reilly Media","","","",""
"Griffiths ’09","Dawn Griffin","",,"Head First Statistics","2009","O’Reilly","","","",""
"Javaheri ’21","T. Javaheri","M. Homayounfar; Z. Amoozgar; R. Reiazi; F. Homayounieh; E. Abbas; R. Rawassizadeh",,"CovidCTNet: an open-source deep learning approach to diagnose covid-19 using small cohort of CT images","2021","NPJ digital medicine","4(1)","1-10","",""
"Rawassizadeh ’19","R. Rawassizadeh","C. Dobbins; M. Akbari; M. Pazzani",,"Indexing Multivariate Data through Spatio -Temporal Event Detection and Clustering","2019","Sensors","19 (3)","448","",""
"Rawassizadeh ‘13","R. Rawassizadeh","M. Tomitsch; K. Wac; A. M. Tjoa",,"UbiqLog: a generic mobile phone-based life-log framework","2013","Personal and ubiquitous computing","17(4)","621-637","",""
"Tufte ’01","E. R. Tufte","",,"The Visual Display of Quantitative Information (Vol. 2)","2001","Graphics press","","","Cheshire, CT",""
"Abela ‘13","A. Abela","",,"Advanced Presentations by Design: Creating Communication that Drives Action","2013","Pfeiffer","","","2nd edition",""
"Knaflic ‘15","C. N. Knaflic","",,"Storytelling with data: A data visualization guide for business professionals","2015","John Wiley & Sons","","","",""
"Wilke '19","C. O. Wilke","",,"Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures","2019","O'Reilly Media","","","",""
"Rawassizadeh ’15","R. Rawassizadeh","E. Momeni; C. Dobbins; P. Mirza-Babaei; R. Rahnamoun",,"Lesson learned from collecting quantified self information via mobile and wearable devices","2015","Journal of Sensor and Actuator Networks","4(4)","315-335","",""
"Rumsey '15","D. J. Rumsey","",,"U Can: statistics for dummies","2015","John Wiley & Sons","","","",""
"Rumsey '09","D. J. Rumsey","",,"Statistics II for Dummies","2009","Wiley Publishing, Inc.","","","",""
"Boslaugh ‘12","S. Boslaugh","",,"Statistics in a nutshell: A desktop quick reference","2012","O'Reilly Media, Inc.","","","",""
"Skiena ‘17","S. S. Skiena","",,"The Data Science Design Manual","2017","Springer","","","",""
"Neyman ‘37","J. Neyman","",,"Outline of a theory of statistical estimation based on the classical theory of probability","1937","Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences","236(767)","333-380","",""
"Chandola '09","V. Chandola","A. Banerjee; V. Kumar",,"Anomaly detection: A survey","2009","ACM computing surveys (CSUR)","41(3)","15","",""
"Aggarwal ‘01","C. C. Aggarwal","A. Hinneburg; D. A. Keim",,"On the surprising behavior of distance metrics in high dimensional space","2001","International conference on database theory","","pp. 420-434","Springer, Berlin, Heidelberg",""
"Goodfellow ’16","I. Goodfellow","Y. Bengio; A. Courville; Y. Bengio",,"Deep learning (Vol. 1)","2016","MIT press","","","Cambridge",""
"Shapiro ‘65","S. S. Shapiro","M. B. Wilk",,"An analysis of variance test for normality (complete samples)","1965","Biometrika","52 (3–4)","591–611","",""
"Bonferroni ‘36","C. E. Bonferroni","",,"Teoria statistica delle classi e calcolo delle probabilità","1936","Pubblicazioni del R Istituto Superiore di Scienze Economiche e Commerciali di Firenze","","","",""
"Tukey ’49","J. W. Tukey","",,"Comparing individual means in the analysis of variance","1949","Biometrics","","99-114","",""
"Sullivan ‘12","G. M. Sullivan","R. Feinn",,"Using Effect Size—or Why the P-value is not Enough","2012","Journal of graduate medical education","4(3)","279-282","",""
"Cohen ‘92","J. Cohen","",,"A power primer","1992","Psychological bulletin","112(1)","155 - 159","",""
"Han ’00","J. Han","J. Pei; Y. Yin",,"Mining Frequent Patterns Without Candidate Generation","2000","In ACM Sigmod Record","Vol. 29, No. 2","1-12","",""
"Zaki ’97","M. J. Zaki","S. Parthasarathy; M. Ogihara; W. Li",,"New Algorithms for Fast Discovery of Association Rules","1997","In Knowledge Discovery and Data Mining","Vol. 97","283-286","",""
"Srikant ‘96","R. Srikant","R. Agrawal",,"Mining sequential patterns: Generalizations and performance improvements","1996","In International Conference on Extending","","","",""
"Zaki ’01","M. J. Zaki","",,"SPADE: An Efficient Algorithm for Mining Frequent Sequences","2001","Machine Learning","42(1-2)","31-60","",""
"Han ’01","J. Han","J. Pei; B. Mortazavi-Asl; H. Pinto; Q. Chen; U. Dayal; M. Hsu",,"Prefixspan: Mining sequential patterns efficiently by prefix-projected pattern growth","2001","In Proceedings of the 17th International Conference on Data Engineering","","pp. 215-224","",""
"Han ’05","J. Han","J. Pei; X. Yan",,"Sequential pattern mining by pattern-growth: Principles and extensions","2005","In Foundations and Advances in Data Mining","","pp. 183-220","Springer, Berlin, Heidelberg",""
"Aggarwal ’14","C. C. Aggarwal","J. Han",,"Frequent Pattern Mining","2014","Springer","","","",""
"Pei ’04","J. Pei","J. Han; B. Mortazavi-Asl; H. Pinto; Q. Chen; U. Dayal; M. C. Hsu",,"Mining sequential patterns by pattern-growth: The prefixspan approach","2004","IEEE Transactions on Knowledge & Data Engineering","(11)","1424-1440","",""
"Gonzalez ’17","R. C. Gonzalez","R. E. Woods; S. L. Eddins",,"Digital Image Processing, 4th Edition","2017","Pearson-Prentice-Hall","","","",""
"Jurafsky ’18","D. Jurafsky","H. Martin",,"Speech and Language Processing (3rd edition draft)","2018","","","","online: https://web.stanford.edu/~jurafsky/slp3/",""
"Baum ’70","L. E. Baum","T. Petrie; G. Soules; N. Weiss",,"A maximization technique occurring in the statistical analysis of probabilistic functions of Markov chains","1970","The annals of mathematical statistics","41(1)","164-171","",""
"Baum ’67","L. E. Baum","J. A. Eagon",,"An inequality with applications to statistical estimation for probabilistic functions of Markov processes and to a model for ecology","1967","Bulletin of the American Mathematical Society","","360–363","",""
"Ozdemir ‘18","S. Ozdemir","D. Susarla",,"Feature Engineering Made Easy: Identify unique features from your dataset in order to build powerful machine learning systems","2018","Packt Publishing Ltd","","","",""
"Chandrashekar ‘14","G. Chandrashekar","F. Sahin",,"A Survey on Feature Selection Methods","2014","Computers & Electrical Engineering","40(1)","16-28","",""
"Quinlan ‘86","J. R. Quinlan","",,"Induction of decision trees","1986","Machine learning","1(1)","81-106","",""
"Tibshirani ‘96","R. Tibshirani","",,"Regression shrinkage and selection via the lasso","1996","Journal of the Royal Statistical Society: Series B (Methodological)","58(1)","267-288","",""
"Menon ‘20","S. Menon","A. Damian; S. Hu; N. Ravi; C. Rudin",,"Pulse: Self-supervised photo upsampling via latent space exploration of generative models","2020","In Proceedings of the ieee/cvf conference on computer vision and pattern recognition","","pp. 2437-2445","",""
"Moody ’88","J. Moody","",,"Fast learning in multi-resolution hierarchies","1988","Advances in neural information processing systems","","","",""
"Box ’64","G. E. P. Box","D. R. Cox",,"An Analysis of Transformations","1964","Journal of the Royal Statistical Society, Series B","26","211-252","",""
"Ng ‘18","A. Ng","",,"Machine Learning Yearning","2018","","","","URL: http://www.mlyearning.org/(96)",""
"Mikolov ’13","T. Mikolov","K. Chen; G. Corrado; J. Dean",,"Efficient Estimation of Word Representations in Vector Space","2013","arXiv preprint arXiv:1301.3781","","","",""
"Pennington ‘14","Jeffrey Pennington","Richard Socher; Christopher D. Manning",,"GloVe: Global vectors for word representation","2014","In Proceedings of the 2014 conference on empirical methods in natural language processing","","pp. 1532–1543","",""
"Bojanowski ’17","P. Bojanowski","E. Grave; A. Joulin; T. Mikolov",,"Enriching word vectors with subword information","2017","Transactions of the Association for Computational Linguistics","5","135-146","",""
"Rose ’10","S. Rose","D. Engel; N. Cramer; W. Cowley",,"Automatic keyword extraction from individual documents","2010","Text mining: applications and theory","","1-20","",""
"Mihalcea ’04","R. Mihalcea","P. Tarau",,"Textrank: Bringing order into text","2004","In Proceedings of the 2004 conference on empirical methods in natural language processing","","pp. 404-411","",""
"Campos ’18","R. Campos","V. Mangaravite; A. Pasquali; A. M. Jorge; C. Nunes; A. Jatowt",,"Yake! collection-independent automatic keyword extractor","2018","In Advances in Information Retrieval: 40th European Conference on IR Research, ECIR 2018, Grenoble, France, March 26-29, 2018, Proceedings 40","","pp. 806-810","Springer International Publishing",""
"Ji ’12","S. Ji","W. Xu; M. Yang; K. Yu",,"3D convolutional neural networks for human action recognition","2012","IEEE transactions on pattern analysis and machine intelligence","35(1)","221-231","",""
"Karpathy ’14","A. Karpathy","G. Toderici; S. Shetty; T. Leung; R. Sukthankar; L. Fei-Fei",,"Large-scale video classification with convolutional neural networks","2014","In Proceedings of the IEEE conference on Computer Vision and Pattern Recognition","","pp. 1725-1732","",""
"Harris ’88","C. G. Harris","M. Stephens",,"A Combined Corner and Edge Detector","1988","In Alvey vision conference","Vol. 15, No. 50","pp. 147-151","",""
"Matas ’04","J. Matas","O. Chum; M. Urban; T. Pajdla",,"Robust Wide-baseline Stereo from Maximally Stable Extremal Regions","2004","Image and Vision Computing","22(10)","761-767","",""
"Dalal ’05","N. Dalal","B. Triggs",,"Histograms of Oriented Gradients for Human Detection","2005","In International Conference on Computer Vision & Pattern Recognition (CVPR'05)","Vol. 1","pp. 886-893","",""
"Lowe ‘99","D. G. Lowe","",,"Object Recognition from Local Scale-Invariant Features","1999","In Proceedings of the International Conference on Computer Vision","Vol. 99, No. 2","pp. 1150-1157","",""
"Kornilov ‘18","A. S. Kornilov","I. V. Safonov",,"An overview of watershed algorithm implementations in open source libraries","2018","Journal of Imaging","4(10)","123","",""
"Morlet ’82","J. Morlet","G. Arens; E. Fourgeau; D. Glard",,"Wave propagation and sampling theory—Part I: Complex signal and scattering in multilayered media","1982","Geophysics","47(2)","203-221","",""
"Daubechies ’92","I. Daubechies","",,"Ten Lectures on Wavelets","1992","Society for Industrial and Applied Mathematics","","","",""
"Heil ’89","Christopher E. Heil","David F. Walnut",,"Continuous and discrete wavelet transforms","1989","SIAM review","31.4","628-666","",""
"Haar ’10","Alfréd Haar","",,"Zur Theorie der orthogonalen Funktionensysteme","1910","Mathematische Annalen","69(3)","331–371","",""
"Keogh ’01","E. Keogh","K. Chakrabarti; M. Pazzani; S. Mehrotra",,"Dimensionality reduction for fast similarity search in large time series databases","2001","Knowledge and Information Systems","3(3)","263-286","",""
"Lin ’03","Jessica Lin","E. Keogh; S. Lonardi; B. Chiu",,"A Symbolic Representation of Time Series, with Implications for Streaming Algorithms","2003","In Proceedings of the 8th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery","","pp. 2-11","",""
"Wang ’18","X. Wang","A. Gupta",,"Videos as space-time region graphs","2018","In Proceedings of the European conference on computer vision (ECCV)","","pp. 399-417","",""
"Wang ’16","X. Wang","L. Gao; J. Song; H. Shen",,"Beyond frame-level CNN: saliency-aware 3-D CNN with LSTM for video action recognition","2016","IEEE signal processing letters","24(4)","510-514","",""
"Page ’54","E. S. Page","",,"Continuous Inspection Scheme","1954","Biometrika","41 (1/2)","100–115","",""
"Aminikhanghahi ’17","S. Aminikhanghahi","D. J. Cook",,"A Survey of Methods for Time Series Change Point Detection","2017","Knowledge and information systems","51(2)","339-367","",""
"Krishnamoorthy ’13","A. Krishnamoorthy","D. Menon",,"Matrix Inversion Using Cholesky Decomposition","2013","In 2013 Signal Processing: Algorithms, Architectures, Arrangements, and Applications (SPA)","","pp. 70-72","",""
"Bellman ’61","R. Bellman","",,"Curse of dimensionality","1961","Adaptive control processes: a guided tour","","Princeton University Press, 3, 2","",""
"Deerwester ’90","S. Deerwester","S. T. Dumais; G. W. Furnas; T. K. Landauer; R. Harshman",,"Indexing by latent semantic analysis","1990","Journal of the American society for information science","41(6)","391-407","",""
"Fisher ’36","R. Fisher","",,"Linear discriminant analysis","1936","Ann. Eugenics","7","179","",""
"Blei ’03","D. M. Blei","A. Y. Ng; M. I. Jordan",,"Latent Dirichlet Allocation","2003","Journal of machine Learning research","3(Jan)","993-1022","",""
"Cai ’08","D. Cai","X. He; J. Han",,"Training Linear Discriminant Analysis in Linear Time","2008","In 2008 IEEE 24th International Conference on Data Engineering","","pp. 209-217","",""
"Roweis '00","S. T. Roweis","L. K. Saul",,"Nonlinear dimensionality reduction by locally linear embedding","2000","science","290 (5500)","2323-2326","",""
"Smith ’97","S. W. Smith","",,"The Scientists & Engineer's Guide to Digital Signal Processing","1997","California Technical Pub. San Diego","","","",""
"Cholesky ’10","A. L. Cholesky","",,"On Numerical Solutions of Systems of Linear Equations","1910","","","Available: http://bibnum.education.fr/mathematiques/algebre/sur-la-resolution-numerique-des-systemes-d-equations-lineaires","",""
"Sra ‘06","S. Sra","I. S. Dhillon",,"Generalized Nonnegative Matrix Approximations with Bregman divergences","2006","In Advances in Neural Information Processing Systems","","pp. 283-290","",""
"Stewart ’93","G. W. Stewart","",,"On the Early History of the Singular Value Decomposition","1993","SIAM review","35(4)","551-566","",""
"Golub ’71","G. H. Golub","C. Reinsch",,"Singular Value Decomposition and Least Squares Solutions","1971","In Linear Algebra","","pp. 134-151","Springer, Berlin, Heidelberg",""
"Rehman ‘16","M. H. Ur Rehman","C. S. Liew; A. Abbas; P. P. Jayaraman; T. Y. Wah; S. U. Khan",,"Big data reduction methods: a survey","2016","Data Science and Engineering","1(4)","265-284","",""
"Kolda ‘09","Tamara G. Kolda","Brett W. Bader",,"""Tensor decompositions and applications""","2009","SIAM review","51.3","455-500","",""
"Hitchcock ‘27","L. Hitchcock","",,"The expression of a tensor or a polyadic as a sum of products","1927","Journal of Math and Physics","6","pp. 164–189","",""
"Harshman ‘70","R. A. Harshman","",,"Foundations of the PARAFAC procedure: Models and conditions for an explanatory multimodal factor analysis","1970","UCLA Working Papers in Phonetics","","pp. 1-84","",""
"Carroll ’70","D. Carroll","J. J. Chang",,"Analysis of Individual Differences in Multidimensional Scaling via an N-way Generalization of “Eckart-Young” Decomposition","1970","Psychometrika","35","pp. 283–319","",""
"Håstad ‘90","J. Håstad","",,"Tensor rank is NP-complete","1990","Journal of Algorithms","11(4)","644-654","",""
"Tucker ‘66","L. R. Tucker","",,"Some mathematical notes on three-mode factor analysis","1966","Psychometrika","31(3)","279-311","",""
"Kroonenberg ‘80","P. M. Kroonenberg","J. De Leeuw",,"Principal Component Analysis of Three-mode Data by Means of Alternating Least Squares Algorithms","1980","Psychometrika","45(1)","69-97","",""
"Oseledets ‘11","I. V. Oseledets","",,"Tensor-Train Decomposition","2011","SIAM Journal on Scientific Computing","33(5)","2295-2317","",""
"James ‘13","G. James","D. Witten; T. Hastie; R. Tibshirani",,"An Introduction to Statistical Learning: with Applications in R","2013","New York: springer","","","",""
"Box ’70","G. E. Box","G. M. Jenkins; G. C. Reinsel; G. M. Ljung",,"Time series analysis: forecasting and control","2015","John Wiley & Sons","","","",""
"Dickey ’79","D. A. Dickey","W. A. Fuller",,"Distribution of the estimators for autoregressive time series with a unit root","1979","Journal of the American statistical association","74(366a)","427-431","",""
"Domencich ‘75","T. A. Domencich","D. McFadden",,"Urban travel demand-a behavioral analysis","1975","","","","",""
"Wald ‘45","A. Wald","",,"Sequential tests of statistical hypotheses","1945","The annals of mathematical statistics","16(2)","117-186","",""
"Akaike ‘74","H. Akaike","",,"A new look at statistical model identification","1974","IEEE Transactions on Automatic Control","19","716–723","",""
"Schwarz ‘78","G. Schwarz","",,"Estimating the dimension of a model","1978","The annals of statistics","6(2)","461-464","",""
"Grus ‘19","J. Grus","",,"Data Science from Scratch: First Principles with Python","2019","O'Reilly Media","","","",""
"Domingos ‘12","P. M. Domingos","",,"A few useful things to know about machine learning","2012","Communication of ACM","55(10)","78-87","",""
"Тhikhonov ‘43","А. Н. Тhikhonov","",,"Об устойчивости обратных задач","1943","In Докл. Proceedings of the USSR Academy of Sciences","Vol. 39, No. 5","pp. 195-198","",""
